Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
0.394779,0,,,,,,,,,,,,,,,,,
0.395877,0,,,,,,,,,,,,,,,,,
0.396962,0,,,,,,,,,,,,,,,,,
0.398107,0,,,,,,,,,,,,,,,,,
0.399208,0,,,,,,,,,,,,,,,,,
0.400349,0,,,,,,,,,,,,,,,,,
0.401487,0,,,,,,,,,,,,,,,,,
0.402579,0,,,,,,,,,,,,,,,,,
0.403688,0,,,,,,,,,,,,,,,,,
0.404779,0,,,,,,,,,,,,,,,,,
0.405869,0,,,,,,,,,,,,,,,,,
0.406959,0,,,,,,,,,,,,,,,,,
0.408047,0,,,,,,,,,,,,,,,,,
0.409137,0,,,,,,,,,,,,,,,,,
0.410281,0,,,,,,,,,,,,,,,,,
0.411328,0,,,,,,,,,,,,,,,,,
0.412445,0,,,,,,,,,,,,,,,,,
0.413497,0,,,,,,,,,,,,,,,,,
0.414637,0,,,,,,,,,,,,,,,,,
0.415782,0,,,,,,,,,,,,,,,,,
0.416838,0,,,,,,,,,,,,,,,,,
0.417936,0,,,,,,,,,,,,,,,,,
0.419025,0,,,,,,,,,,,,,,,,,
0.420113,0,,,,,,,,,,,,,,,,,
0.421155,0,,,,,,,,,,,,,,,,,
0.422302,0,,,,,,,,,,,,,,,,,
0.423357,0,,,,,,,,,,,,,,,,,
0.424448,0,,,,,,,,,,,,,,,,,
0.425583,0,,,,,,,,,,,,,,,,,
0.42672,0,,,,,,,,,,,,,,,,,
0.427813,0,,,,,,,,,,,,,,,,,
0.428911,0,,,,,,,,,,,,,,,,,
0.429999,0,,,,,,,,,,,,,,,,,
0.431087,0,,,,,,,,,,,,,,,,,
0.432223,0,,,,,,,,,,,,,,,,,
0.433356,0,,,,,,,,,,,,,,,,,
0.434496,0,,,,,,,,,,,,,,,,,
0.435632,0,,,,,,,,,,,,,,,,,
0.436725,0,,,,,,,,,,,,,,,,,
0.437862,0,,,,,,,,,,,,,,,,,
0.439,0,,,,,,,,,,,,,,,,,
0.440138,0,,,,,,,,,,,,,,,,,
0.441198,0,,,,,,,,,,,,,,,,,
0.442335,0,,,,,,,,,,,,,,,,,
0.443473,0,,,,,,,,,,,,,,,,,
0.444578,0,,,,,,,,,,,,,,,,,
0.445672,0,,,,,,,,,,,,,,,,,
0.446759,0,,,,,,,,,,,,,,,,,
0.447851,0,,,,,,,,,,,,,,,,,
0.44899,0,,,,,,,,,,,,,,,,,
0.450127,0,,,,,,,,,,,,,,,,,
0.451265,0,,,,,,,,,,,,,,,,,
0.452354,0,,,,,,,,,,,,,,,,,
0.453492,0,,,,,,,,,,,,,,,,,
0.454587,0,,,,,,,,,,,,,,,,,
0.455724,0,,,,,,,,,,,,,,,,,
0.456823,0,,,,,,,,,,,,,,,,,
0.45796,0,,,,,,,,,,,,,,,,,
0.459098,0,,,,,,,,,,,,,,,,,
0.460205,0,,,,,,,,,,,,,,,,,
0.461267,0,,,,,,,,,,,,,,,,,
0.462361,0,,,,,,,,,,,,,,,,,
0.463447,0,,,,,,,,,,,,,,,,,
0.464503,0,,,,,,,,,,,,,,,,,
0.465559,0,,,,,,,,,,,,,,,,,
0.466614,0,,,,,,,,,,,,,,,,,
0.467669,0,,,,,,,,,,,,,,,,,
0.468725,0,,,,,,,,,,,,,,,,,
0.469773,0,,,,,,,,,,,,,,,,,
0.470835,0,,,,,,,,,,,,,,,,,
0.471889,0,,,,,,,,,,,,,,,,,
0.472953,0,,,,,,,,,,,,,,,,,
0.474049,0,,,,,,,,,,,,,,,,,
0.475193,0,,,,,,,,,,,,,,,,,
0.47634,0,,,,,,,,,,,,,,,,,
0.477392,0,,,,,,,,,,,,,,,,,
0.478488,0,,,,,,,,,,,,,,,,,
0.479576,0,,,,,,,,,,,,,,,,,
0.480634,0,,,,,,,,,,,,,,,,,
0.481771,0,,,,,,,,,,,,,,,,,
0.482826,0,,,,,,,,,,,,,,,,,
0.483965,0,,,,,,,,,,,,,,,,,
0.485053,0,,,,,,,,,,,,,,,,,
0.486195,0,,,,,,,,,,,,,,,,,
0.487271,0,,,,,,,,,,,,,,,,,
0.488412,0,,,,,,,,,,,,,,,,,
0.489581,0,,,,,,,,,,,,,,,,,
0.490656,0,,,,,,,,,,,,,,,,,
0.491793,0,,,,,,,,,,,,,,,,,
0.492851,0,,,,,,,,,,,,,,,,,
0.493941,0,,,,,,,,,,,,,,,,,
0.50917,0,,,,,,,,,,,,,,,,,
0.510244,0,,,,,,,,,,,,,,,,,
0.511307,0,,,,,,,,,,,,,,,,,
0.512404,0,,,,,,,,,,,,,,,,,
0.513489,0,,,,,,,,,,,,,,,,,
0.514579,0,,,,,,,,,,,,,,,,,
0.515667,0,,,,,,,,,,,,,,,,,
0.516767,0,,,,,,,,,,,,,,,,,
0.517859,0,,,,,,,,,,,,,,,,,
0.518915,0,,,,,,,,,,,,,,,,,
0.520008,0,,,,,,,,,,,,,,,,,
0.521095,0,,,,,,,,,,,,,,,,,
0.522186,0,,,,,,,,,,,,,,,,,
0.523278,0,,,,,,,,,,,,,,,,,
0.524369,0,,,,,,,,,,,,,,,,,
0.525466,0,,,,,,,,,,,,,,,,,
0.526556,0,,,,,,,,,,,,,,,,,
0.527645,0,,,,,,,,,,,,,,,,,
0.528814,0,,,,,,,,,,,,,,,,,
0.529862,0,,,,,,,,,,,,,,,,,
0.530915,0,,,,,,,,,,,,,,,,,
0.531973,0,,,,,,,,,,,,,,,,,
0.53306,0,,,,,,,,,,,,,,,,,
0.534118,0,,,,,,,,,,,,,,,,,
0.535207,0,,,,,,,,,,,,,,,,,
0.536298,0,,,,,,,,,,,,,,,,,
0.537382,0,,,,,,,,,,,,,,,,,
0.538472,0,,,,,,,,,,,,,,,,,
0.539564,0,,,,,,,,,,,,,,,,,
0.540658,0,,,,,,,,,,,,,,,,,
0.541749,0,,,,,,,,,,,,,,,,,
0.542796,0,,,,,,,,,,,,,,,,,
0.543891,0,,,,,,,,,,,,,,,,,
0.544984,0,,,,,,,,,,,,,,,,,
0.546094,0,,,,,,,,,,,,,,,,,
0.547173,0,,,,,,,,,,,,,,,,,
0.548264,0,,,,,,,,,,,,,,,,,
0.549345,0,,,,,,,,,,,,,,,,,
0.550434,0,,,,,,,,,,,,,,,,,
0.551527,0,,,,,,,,,,,,,,,,,
0.552617,0,,,,,,,,,,,,,,,,,
0.553709,0,,,,,,,,,,,,,,,,,
0.5548,0,,,,,,,,,,,,,,,,,
0.555891,0,,,,,,,,,,,,,,,,,
0.55698,0,,,,,,,,,,,,,,,,,
0.558072,0,,,,,,,,,,,,,,,,,
0.559169,0,,,,,,,,,,,,,,,,,
0.56026,0,,,,,,,,,,,,,,,,,
0.561346,0,,,,,,,,,,,,,,,,,
0.56245,0,,,,,,,,,,,,,,,,,
0.563536,0,,,,,,,,,,,,,,,,,
